,parameter,cum_return
0,"(20, 20)",-59.94000000000034
1,"(20, 21)",-49.46020000000027
2,"(20, 22)",-52.500400000000184
3,"(20, 23)",-56.49410000000023
4,"(20, 24)",36.82359999999977
5,"(20, 25)",20.24459999999982
6,"(20, 26)",11.569599999999639
7,"(20, 27)",8.628399999999658
8,"(20, 28)",9.164299999999685
9,"(20, 29)",7.990599999999574
10,"(20, 30)",4.8466999999996005
11,"(21, 20)",-61.70670000000018
12,"(21, 21)",-51.28520000000003
13,"(21, 22)",-54.205799999999954
14,"(21, 23)",-58.26459999999997
15,"(21, 24)",35.120100000000036
16,"(21, 25)",18.462300000000084
17,"(21, 26)",9.16519999999997
18,"(21, 27)",7.578100000000006
19,"(21, 28)",8.250100000000032
20,"(21, 29)",7.172199999999975
21,"(21, 30)",4.0283000000000015
22,"(22, 20)",-60.82560000000012
23,"(22, 21)",-50.332299999999975
24,"(22, 22)",-53.2768999999999
25,"(22, 23)",-57.043799999999976
26,"(22, 24)",35.37619999999998
27,"(22, 25)",18.804300000000012
28,"(22, 26)",12.065899999999829
29,"(22, 27)",10.478799999999865
30,"(22, 28)",11.246499999999912
31,"(22, 29)",10.24859999999984
32,"(22, 30)",7.104699999999866
33,"(23, 20)",-51.75130000000041
34,"(23, 21)",-46.787000000000035
35,"(23, 22)",-51.346399999999846
36,"(23, 23)",-56.116199999999935
37,"(23, 24)",36.47140000000002
38,"(23, 25)",19.856600000000014
39,"(23, 26)",13.501099999999838
40,"(23, 27)",11.708199999999863
41,"(23, 28)",12.901699999999948
42,"(23, 29)",12.102599999999882
43,"(23, 30)",8.958699999999908
44,"(24, 20)",-60.39030000000031
45,"(24, 21)",-58.3658999999999
46,"(24, 22)",-62.39879999999971
47,"(24, 23)",-61.746699999999805
48,"(24, 24)",31.251200000000154
49,"(24, 25)",13.488000000000113
50,"(24, 26)",5.489599999999939
51,"(24, 27)",1.217999999999961
52,"(24, 28)",2.4115000000000464
53,"(24, 29)",1.703300000000013
54,"(24, 30)",-1.4405999999999608
55,"(25, 20)",-64.77590000000026
56,"(25, 21)",-62.01289999999989
57,"(25, 22)",-65.37089999999972
58,"(25, 23)",-66.49909999999977
59,"(25, 24)",27.699000000000183
60,"(25, 25)",9.985100000000159
61,"(25, 26)",1.8302999999999656
62,"(25, 27)",-4.116100000000017
63,"(25, 28)",-3.06129999999996
64,"(25, 29)",-3.7694999999999936
65,"(25, 30)",-6.913399999999967
66,"(26, 20)",-64.62280000000032
67,"(26, 21)",-58.517699999999934
68,"(26, 22)",-62.49039999999985
69,"(26, 23)",-63.6185999999999
70,"(26, 24)",30.399000000000058
71,"(26, 25)",16.54680000000002
72,"(26, 26)",7.2224999999998545
73,"(26, 27)",1.5392999999998551
74,"(26, 28)",2.594099999999912
75,"(26, 29)",1.5605999999999085
76,"(26, 30)",-2.02840000000009
77,"(27, 20)",-63.177700000000414
78,"(27, 21)",-57.20180000000005
79,"(27, 22)",-62.901899999999955
80,"(27, 23)",-64.0301
81,"(27, 24)",30.020999999999958
82,"(27, 25)",16.16879999999992
83,"(27, 26)",6.791799999999796
84,"(27, 27)",1.1085999999997966
85,"(27, 28)",2.1633999999998537
86,"(27, 29)",0.9097999999998478
87,"(27, 30)",-2.679200000000151
88,"(28, 20)",-63.557900000000416
89,"(28, 21)",-57.628100000000074
90,"(28, 22)",-63.24209999999994
91,"(28, 23)",-64.37029999999999
92,"(28, 24)",29.565999999999974
93,"(28, 25)",15.225799999999936
94,"(28, 26)",6.011499999999785
95,"(28, 27)",0.32829999999978554
96,"(28, 28)",1.3830999999998426
97,"(28, 29)",0.12949999999983675
98,"(28, 30)",-3.315900000000113
99,"(29, 20)",-62.97660000000036
100,"(29, 21)",-57.57790000000006
101,"(29, 22)",-63.01959999999991
102,"(29, 23)",-64.14779999999996
103,"(29, 24)",29.7885
104,"(29, 25)",15.21859999999998
105,"(29, 26)",5.975599999999815
106,"(29, 27)",0.35949999999985494
107,"(29, 28)",1.414299999999912
108,"(29, 29)",0.16069999999990614
109,"(29, 30)",-3.2847000000000435
110,"(30, 20)",-62.62070000000034
111,"(30, 21)",-57.22200000000004
112,"(30, 22)",-62.66369999999989
113,"(30, 23)",-63.79189999999994
114,"(30, 24)",29.943399999999997
115,"(30, 25)",15.373499999999979
116,"(30, 26)",6.130499999999813
117,"(30, 27)",0.5143999999998528
118,"(30, 28)",1.5691999999999098
119,"(30, 29)",0.31559999999990396
120,"(30, 30)",-3.1298000000000457
